time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.2000000000000006,0.025910995511320912,-0.3021501407808806,11.708044996885883,6.095288499300066,0.0067262166913808485,0.0,0.049527132023472385,-0.992246260397228,2.760267459656751,-0.22575191962252386,0.07733542092839897,0.0,487.69609164067856,488.3405520670836,487.2004092665982,487.52893680090745
1.2600000000000007,0.02870485746873035,-0.36611810001856676,11.878961793535517,6.082413420849466,0.01155971571073966,0.0,0.0430584228706286,-1.1414180010393795,2.9361328633678547,-0.19848100941945693,0.08632670257871532,0.0,472.30384381461204,473.001567113633,471.08926381429586,473.1499373747846
1.3200000000000007,0.031064401871765155,-0.43820772554857623,12.054925071720152,6.070468044651694,0.017276906917217616,0.0,0.035110398526346544,-1.2626003055319355,2.9290214783213666,-0.20033329795051963,0.10893529503521847,0.0,414.03469574801187,416.0272771294275,416.00749345295407,415.8034794382612
1.3800000000000008,0.032819086519844415,-0.5180343355250461,12.231577694164939,6.058125174477464,0.023959037950925577,0.0,0.022761618067963413,-1.3993803651592607,2.958958231294172,-0.21952326374678904,0.11583508630312203,0.0,427.95796402836106,428.556341737125,429.97304964129074,428.30037196235656
1.4400000000000008,0.03371712938766777,-0.6061912410304019,12.409480851088748,6.045087520973745,0.03055942330216954,0.0,0.006554310002070573,-1.5403369386866712,2.970706716138349,-0.21317935117391268,0.09460591022918276,0.0,423.38643171187107,421.56708313618617,424.5528849882557,425.04777007728853
1.5000000000000009,0.03340590780842432,-0.703940769702776,12.59168594438622,6.032215721581503,0.03594386038836639,0.0,-0.017521736766545434,-1.7192497860109388,3.1019200474633517,-0.21737271727524402,0.07761106825602314,0.0,464.012326431828,462.6824833366933,463.5616394804428,463.1885919275471
1.560000000000001,0.03138172718758102,-0.8137487810593524,12.785702456889497,6.019471081595171,0.04053769190516565,0.0,-0.0505159930864902,-1.9424190022395438,3.3638735528887875,-0.20399415527123027,0.07438390179167796,0.0,503.7070009625302,503.47744128907664,504.3308412850878,505.25749402191036
1.620000000000001,0.027471049744486584,-0.935919522657622,12.990366011898718,6.007076145444927,0.044669518032493194,0.0,-0.08027220894307095,-2.131086345570692,3.4573776397507414,-0.2123274747114542,0.054553061661029585,0.0,456.40463625274293,454.8224093874571,457.35592718246585,456.65091091831636
1.680000000000001,0.02178042519080933,-1.0691371766182722,13.19868446822858,5.9942815195823,0.04783523131312073,0.0,-0.10970701665417361,-2.310626844032859,3.4858967305384834,-0.2151388121438326,0.04891617478804187,0.0,437.1277713715634,436.65961511582316,437.43401381395654,437.1541269846717
1.740000000000001,0.01433970698339762,-1.2129236309519968,13.407135831435147,5.981668728572448,0.05090265303608543,0.0,-0.13857173118556768,-2.4833305675181387,3.4619775367214416,-0.20184951104565552,0.05520737571935648,0.0,420.6744379251847,421.2207186687376,420.12762914586574,421.2319553173171
1.8000000000000012,0.004832899691093858,-1.3689132099843957,13.619241894930628,5.96937506270142,0.05399520481717879,0.0,-0.1786456398943748,-2.717462781542744,3.60698091643326,-0.21179745809434564,0.04296725743664647,0.0,478.1435908906251,477.2116050287496,477.01932072085515,476.2207414359123
1.8600000000000012,-0.007084294640810437,-1.5388803324971563,13.838864197723687,5.957063324419201,0.056491306986542256,0.0,-0.21882878172990955,-2.949233463905649,3.7125972543346073,-0.19450422509087748,0.03872112318625608,0.0,468.4061125415046,468.07658351609007,466.1924196185976,467.50237298500167
1.9200000000000013,-0.02134018677884747,-1.7223086241030001,14.062635916388329,5.945033276347267,0.05864733412404277,0.0,-0.2565587397501363,-3.166056832087632,3.7455806021385203,-0.21650109994500644,0.029679160488858033,0.0,446.9090196666552,446.1719003627901,447.5030181802009,445.66884073560834
